timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622996012144,78,HTTP Request,200,OK,Thread Group 1-13,text,true,,14168,162,29,29,http://www.google.com/,78,0,0
1622996012091,138,HTTP Request,200,OK,Thread Group 1-23,text,true,,15010,162,29,29,http://www.google.com/,126,0,28
1622996012147,83,HTTP Request,200,OK,Thread Group 1-10,text,true,,14218,162,29,29,http://www.google.com/,83,0,0
1622996012151,82,HTTP Request,200,OK,Thread Group 1-14,text,true,,14177,162,30,30,http://www.google.com/,82,0,0
1622996012158,78,HTTP Request,200,OK,Thread Group 1-19,text,true,,14206,162,30,30,http://www.google.com/,78,0,0
1622996012131,105,HTTP Request,200,OK,Thread Group 1-25,text,true,,14192,162,30,30,http://www.google.com/,105,0,26
1622996012110,129,HTTP Request,200,OK,Thread Group 1-24,text,true,,14153,162,30,30,http://www.google.com/,101,0,28
1622996012159,84,HTTP Request,200,OK,Thread Group 1-20,text,true,,14220,162,30,30,http://www.google.com/,84,0,0
1622996012180,80,HTTP Request,200,OK,Thread Group 1-21,text,true,,14194,162,31,31,http://www.google.com/,80,0,0
1622996012179,81,HTTP Request,200,OK,Thread Group 1-16,text,true,,14148,162,31,31,http://www.google.com/,81,0,0
1622996012152,108,HTTP Request,200,OK,Thread Group 1-26,text,true,,14161,162,31,31,http://www.google.com/,108,0,26
1622996012188,74,HTTP Request,200,OK,Thread Group 1-8,text,true,,14174,162,31,31,http://www.google.com/,74,0,0
1622996012191,79,HTTP Request,200,OK,Thread Group 1-11,text,true,,14178,162,31,31,http://www.google.com/,79,0,0
1622996012199,77,HTTP Request,200,OK,Thread Group 1-18,text,true,,14133,162,32,32,http://www.google.com/,77,0,0
1622996012205,75,HTTP Request,200,OK,Thread Group 1-2,text,true,,14139,162,32,32,http://www.google.com/,75,0,0
1622996012171,109,HTTP Request,200,OK,Thread Group 1-27,text,true,,14135,162,32,32,http://www.google.com/,109,0,30
1622996012184,99,HTTP Request,200,OK,Thread Group 1-22,text,true,,14138,162,32,32,http://www.google.com/,99,0,0
1622996012205,79,HTTP Request,200,OK,Thread Group 1-17,text,true,,14168,162,32,32,http://www.google.com/,79,0,0
1622996012205,80,HTTP Request,200,OK,Thread Group 1-4,text,true,,14174,162,32,32,http://www.google.com/,80,0,0
1622996012214,78,HTTP Request,200,OK,Thread Group 1-15,text,true,,14967,162,33,33,http://www.google.com/,78,0,0
1622996012213,80,HTTP Request,200,OK,Thread Group 1-12,text,true,,14205,162,33,33,http://www.google.com/,80,0,0
1622996012218,84,HTTP Request,200,OK,Thread Group 1-7,text,true,,14187,162,33,33,http://www.google.com/,84,0,0
1622996012230,76,HTTP Request,200,OK,Thread Group 1-10,text,true,,14217,162,33,33,http://www.google.com/,76,0,0
1622996012219,87,HTTP Request,200,OK,Thread Group 1-6,text,true,,14159,162,33,33,http://www.google.com/,87,0,0
1622996012191,115,HTTP Request,200,OK,Thread Group 1-28,text,true,,14170,162,33,33,http://www.google.com/,115,0,28
1622996012218,88,HTTP Request,200,OK,Thread Group 1-3,text,true,,14165,162,33,33,http://www.google.com/,88,0,0
1622996012218,93,HTTP Request,200,OK,Thread Group 1-1,text,true,,14224,162,34,34,http://www.google.com/,93,0,0
1622996012239,80,HTTP Request,200,OK,Thread Group 1-24,text,true,,14106,162,34,34,http://www.google.com/,80,0,0
1622996012229,90,HTTP Request,200,OK,Thread Group 1-23,text,true,,14166,162,34,34,http://www.google.com/,90,0,0
1622996012237,82,HTTP Request,200,OK,Thread Group 1-19,text,true,,14169,162,34,34,http://www.google.com/,82,0,0
1622996012211,108,HTTP Request,200,OK,Thread Group 1-29,text,true,,14132,162,34,34,http://www.google.com/,108,0,27
1622996012244,76,HTTP Request,200,OK,Thread Group 1-20,text,true,,14208,162,34,34,http://www.google.com/,76,0,0
1622996012222,102,HTTP Request,200,OK,Thread Group 1-13,text,true,,14084,162,34,34,http://www.google.com/,102,0,0
1622996012237,87,HTTP Request,200,OK,Thread Group 1-25,text,true,,14197,162,34,34,http://www.google.com/,87,0,0
1622996012218,108,HTTP Request,200,OK,Thread Group 1-9,text,true,,14171,162,34,34,http://www.google.com/,108,0,0
1622996012233,100,HTTP Request,200,OK,Thread Group 1-14,text,true,,14202,162,35,35,http://www.google.com/,100,0,0
1622996012190,147,HTTP Request,200,OK,Thread Group 1-5,text,true,,14170,162,35,35,http://www.google.com/,147,0,0
1622996012261,81,HTTP Request,200,OK,Thread Group 1-26,text,true,,14168,162,35,35,http://www.google.com/,81,0,0
